"Subsystem","File_Path","Exported_Entry_Points","Input","Output","What_It_Does","Live_Or_Dead","Model_Or_Provider","Invoked_From"
"api/ai","C:\ct\ct\src\app\api\ai\team\roster\overrides\route.ts","GET","none","roster rows with model overrides + knownModels list","Lists the AI Dev Team roster with any admin model overrides applied","LIVE - Next.js route","OpenRouter model slugs from roster-overrides.ts","components\AiTeamRosterSection.tsx"
"api/ai","C:\ct\ct\src\app\api\ai\team\monitor\dispatch-completion\route.ts","GET, POST","none / sweep trigger","DispatchCompletionSweepResult","Manual trigger and read for the stuck-dispatch completion sweep","LIVE - Next.js route","OpenRouter, resolvePlatformModelConfig(""meta_oa"") (GPT-OSS-120B tier) via dispatch-completion-monitor.ts","No in-repo UI caller found; the same sweep runs on Vercel cron /api/internal/dispatch-completion-monitor/run"
"api/ai","C:\ct\ct\src\app\api\ai\team\cache-utilization\route.ts","GET","query period params","prompt cache utilization summary","Reports how well the prompt cache is being used (lib\prompt-cache\utilization)","LIVE - Next.js route","None","No in-repo UI caller found"
"api/ai","C:\ct\ct\src\app\api\ai\team\confidence-correlation\route.ts","GET","query period params","confidence vs outcome correlation report","Correlates dispatch confidence scores against real outcomes","LIVE - Next.js route","None","No in-repo UI caller found"
"api/ai","C:\ct\ct\src\app\api\ai\team\controls-health\route.ts","GET","query params","controls health snapshot","Snapshot of governance control health (lib\controls-health-audit.ts)","LIVE - Next.js route","None","No in-repo UI caller found"
"api/ai","C:\ct\ct\src\app\api\ai\team\cost-quality\route.ts","GET","query params","cost per quality point per model/role","Cost-efficiency metric joining spend to quality scores","LIVE - Next.js route","None","No in-repo UI caller found"
"api/ai","C:\ct\ct\src\app\api\ai\team\d1-metrics\route.ts","GET","query params","D1 metrics report","Generates the D1 metrics tracker report over roster roles","LIVE - Next.js route","None","No in-repo UI caller found"
"api/ai","C:\ct\ct\src\app\api\ai\team\executive-review\route.ts","GET","none","pending executive escalations","Lists escalations awaiting executive acknowledgement","LIVE - Next.js route","None","No in-repo UI caller found"
"api/ai","C:\ct\ct\src\app\api\ai\team\executive-review\[id]\route.ts","POST","path id","acknowledged escalation","Acknowledges one executive escalation","LIVE - Next.js route","None","No in-repo UI caller found"
"api/ai","C:\ct\ct\src\app\api\ai\team\governance-health\route.ts","GET","none","governance health counts, stuck activities, health score","Governance health dashboard data from activity-log-service + monitoring-engine + status-source-of-truth","LIVE - Next.js route","None","No in-repo UI caller found"
"api/ai","C:\ct\ct\src\app\api\ai\team\log-usage\route.ts","POST","token usage payload","persisted token usage row","Ingests token usage into the ledger. NOTE: the only route in this set with no requireAuth import","LIVE - Next.js route","None","No in-repo UI caller found"
"api/ai","C:\ct\ct\src\app\api\ai\team\maintainability-dashboard\route.ts","GET","none","maintainability scorecard","Maintainability scorecard for the codebase/roles","LIVE - Next.js route","None","No in-repo UI caller found"
"api/ai","C:\ct\ct\src\app\api\ai\team\provider-outages\route.ts","GET, POST","GET query params; POST outage window body","outage windows list / recorded window","Records and lists AI provider outage windows","LIVE - Next.js route","Tracks outages for OpenRouter/other providers","No in-repo UI caller found"
"api/ai","C:\ct\ct\src\app\api\ai\team\provider-outages\candidates\route.ts","GET","query params","candidate outage windows inferred from failures","Suggests outage windows from observed call failures","LIVE - Next.js route","None","No in-repo UI caller found"
"api/ai","C:\ct\ct\src\app\api\ai\team\re-audit\route.ts","GET, POST","GET none; POST {activityId}","re-audit flagged list / new flag","Flags a dispatch activity for re-audit","LIVE - Next.js route","None","No in-repo UI caller found"
"api/ai","C:\ct\ct\src\app\api\ai\team\re-audit\[id]\route.ts","DELETE","path id","cleared flag","Clears a re-audit flag","LIVE - Next.js route","None","No in-repo UI caller found"
"api/ai","C:\ct\ct\src\app\api\ai\team\review\route.ts","POST","peer review payload (activityId, verdict)","recorded peer review + guardrail verdicts + audit trigger","Records a peer/closure review over a dispatch, evaluating AI_TEAM_CLOSURE_REVIEW and QA_PRECOMPLETION_GATE guardrail leaves","LIVE - Next.js route","None","No in-repo UI caller found"
"api/ai","C:\ct\ct\src\app\api\ai\team\review-registry\route.ts","GET, POST","query params / registry entry body","review registry entries","Read/write of the review registry (no lib service import - inline DB access)","LIVE - Next.js route","None","No in-repo UI caller found"
"api/ai","C:\ct\ct\src\app\api\ai\team\role-quality\route.ts","GET, POST","GET ?roleKey; POST run trigger","role quality history / fresh regression check","Role quality regression history and on-demand check","LIVE - Next.js route","Runs the role's own OpenRouter model via role-quality-regression-service","No in-repo UI caller found; also on Vercel cron /api/internal/role-quality-regression/run (45 10 * * *)"
"api/ai","C:\ct\ct\src\app\api\ai\team\scorecard\route.ts","GET","query params","model scorecard","Per-model scorecard across roster roles","LIVE - Next.js route","Scores OpenRouter models from roster.ts","No in-repo UI caller found"
"api/ai","C:\ct\ct\src\app\api\ai\team\work-item\[id]\route.ts","GET","path id","audit protocol findings for the work item","Reads auditProtocolFindings for one AI Dev Team work item","LIVE - Next.js route","None","No in-repo UI caller found"
"api/orchestra","C:\ct\ct\src\app\api\orchestra\traces\route.ts","GET","query filters","orchestra trace list","Lists AI orchestration traces","LIVE - Next.js route","None","app\(app)\ai-observability\page.tsx"
"api/orchestra","C:\ct\ct\src\app\api\orchestra\traces\[id]\route.ts","GET","path id","trace detail","One orchestration trace with full detail","LIVE - Next.js route","None","app\(app)\ai-observability\page.tsx"
"api/orchestra","C:\ct\ct\src\app\api\orchestra\analytics\route.ts","GET","?sinceDays","orchestra analytics aggregate","Aggregate analytics over orchestra executions","LIVE - Next.js route","None","app\(app)\orchestra\analytics\page.tsx"
"api/orchestra","C:\ct\ct\src\app\api\orchestra\executions\[id]\route.ts","GET","path id","execution rationale","Why a given orchestra execution routed and decided as it did","LIVE - Next.js route","None","No in-repo UI caller found"
"api/orchestra","C:\ct\ct\src\app\api\orchestra\routing-accuracy\route.ts","GET","query params","routing accuracy report","Measures whether routing decisions matched the right model/tier; consumes lib\loops\byo-model-audit.ts's detectMissedEscalations","LIVE - Next.js route","Reports on OpenRouter routing (z-ai/glm-5.2 etc.)","No in-repo UI caller found; also Vercel cron /api/internal/routing-accuracy-report/run (0 1 * * 1)"
"api/orchestra","C:\ct\ct\src\app\api\orchestra\ai-reduction-trend\route.ts","GET","query params","AI reduction trend series","Tracks the trend of work resolved WITHOUT an AI call","LIVE - Next.js route","None","No in-repo UI caller found; snapshot cron /api/internal/ai-reduction-snapshot/run (0 2 1 * *)"
"api/prompt-os","C:\ct\ct\src\app\api\prompt-os\export\route.ts","GET","?templateKey / bundle selector","prompt bundle export","Exports prompt templates/versions as a portable bundle","LIVE - Next.js route","None (moves prompt text, calls no model)","No in-repo UI caller found"
"api/prompt-os","C:\ct\ct\src\app\api\prompt-os\import\route.ts","POST","prompt bundle body","import result","Imports a prompt bundle (role-gated)","LIVE - Next.js route","None","No in-repo UI caller found"
"api/prompt-os","C:\ct\ct\src\app\api\prompt-os\localize\route.ts","POST","{promptVersionId, locale}","localized prompt version","Localizes one prompt version","LIVE - Next.js route","UNKNOWN - delegates to prompt-localization-service","No in-repo UI caller found"
"api/prompt-os","C:\ct\ct\src\app\api\prompt-os\translate\route.ts","GET, POST","GET ?promptVersionId; POST {promptVersionId, targetLocale}","translations list / new translation","Lists and creates prompt version translations (role-gated on POST)","LIVE - Next.js route","UNKNOWN - delegates to prompt-translation-service","No in-repo UI caller found"
"api/worker-agents","C:\ct\ct\src\app\api\worker-agents\route.ts","GET, POST","GET discovery query; POST proposed worker agent","discovered agents / proposed agent","Discovers and proposes Worker Agents (customer-facing agent library)","LIVE - Next.js route","UNKNOWN - delegates to worker-agent-service","components\orchestra\AgentLibrarySheet.tsx (GET)"
"api/worker-agents","C:\ct\ct\src\app\api\worker-agents\[id]\route.ts","PATCH","path id + worker agent fields","updated worker_agents row","Edits one worker agent under tenant context","LIVE - Next.js route","None","No in-repo UI caller found"
"api/worker-agents","C:\ct\ct\src\app\api\worker-agents\[id]\publish\route.ts","PATCH","path id","published worker_agents row","Publishes a worker agent (role-gated)","LIVE - Next.js route","None","No in-repo UI caller found"
"api/mcp","C:\ct\ct\src\app\api\mcp\route.ts","POST, GET","JSON-RPC 2.0 MCP requests; Authorization: Bearer vk_<api key>","MCP JSON-RPC responses; 9 tools: list_notices, get_task_status, list_compliance_items, get_compliance_stats, get_overdue_items, create_compliance_item, update_compliance_status, list_departments, get_penalty_estimate","MCP Server 1 (Edge runtime): exposes the customer's own compliance data to their AI client, authenticated against the unified api_keys table via hashSHA256","LIVE - Next.js Edge route","None - it is the TARGET an external AI calls, not a model caller. Its own header records that the previously documented internal 'Groq orchestrator' caller does not exist in this codebase","External customer AI clients only; confirmed by the route's own header that no in-repo dispatcher calls it"
"api/mcp","C:\ct\ct\src\app\api\mcp\tokens\route.ts","GET, POST, DELETE","GET none; DELETE ?id","legacy token list; POST returns HTTP 410","Legacy mcp_access_codes admin management. POST is deliberately disabled (410) because /api/mcp no longer accepts these tokens; GET/DELETE remain so existing tokens can be viewed or revoked","LIVE route but POST is a deliberate dead path returning 410 - superseded by POST /api/settings/api-keys","None","No in-repo UI caller found"
"api/mcp","C:\ct\ct\src\app\api\mcp\[token]\route.ts","POST, GET","path token (AI link token) + submission text","pipeline submission result / failure log line","Token-addressed AI-link surface that runs the full construction pipeline (runSubmission) for an external AI client","LIVE - Next.js route; one of the five prod importers of lib\pipeline\run-submission.ts","Level 1 via lib\ai\adapter.ts (OpenRouter or claude-cli)","External AI clients holding an ai-link token (resolveAiLinkToken); no in-repo UI caller"
"api/prompt-eval","C:\ct\ct\src\app\api\prompt-eval\cases\route.ts","GET, POST","GET ?templateKey; POST eval case body","eval case list / created case","Manages prompt evaluation cases","LIVE - Next.js route","None (case CRUD)","app\(app)\prompt-eval\page.tsx"
"api/prompt-eval","C:\ct\ct\src\app\api\prompt-eval\cases\[id]\run\route.ts","POST","path id + run options","eval run result","Runs one prompt eval case against a model (role-gated)","LIVE - Next.js route","UNKNOWN - model chosen inside prompt-eval-service runEval()","app\(app)\prompt-eval\page.tsx"
"api/prompt-eval","C:\ct\ct\src\app\api\prompt-eval\cases\[id]\runs\route.ts","GET","path id","prompt_eval_runs history","Lists prior runs for an eval case (the metric source prompt-ranking-recommendation.ts was designed to consume)","LIVE - Next.js route","None","app\(app)\prompt-eval\page.tsx"
"api/fde","C:\ct\ct\src\app\api\fde\requests\route.ts","GET, POST","GET none; POST FDE request body (propose-new-capability)","FDE request list / submitted request -> approvalRequests","Forward-Deployed-Engineer request intake: a user proposing a new capability from chat","LIVE - Next.js route","UNKNOWN - delegates to fde-service","app\(app)\fde\page.tsx and components\veri-chat\VeriComposer.tsx"
"api/workspace-memory","C:\ct\ct\src\app\api\workspace-memory\route.ts","GET","none (tenant context)","workspace memory event list","Lists the acting user's workspace memory events","LIVE - Next.js route","None","components\WorkspaceMemorySection.tsx"
"api/workspace-memory","C:\ct\ct\src\app\api\workspace-memory\latest\route.ts","GET","none","latest exported capsule + signed URL","Returns the most recent .mv2 capsule and a signed download URL","LIVE - Next.js route","None","components\WorkspaceMemorySection.tsx"
"api/workspace-memory","C:\ct\ct\src\app\api\workspace-memory\export\route.ts","POST","export options","generated .mv2 capsule","Exports the acting user's workspace memory capsule (role-gated)","LIVE - Next.js route","None (@memvid/sdk core API only)","components\WorkspaceMemorySection.tsx"
"api/workspace-memory","C:\ct\ct\src\app\api\workspace-memory\import\route.ts","POST","uploaded .mv2 capsule","import result","Imports a workspace memory capsule (role-gated)","LIVE - Next.js route","None","components\WorkspaceMemorySection.tsx"
"api/workspace-memory","C:\ct\ct\src\app\api\workspace-memory\drive-export\route.ts","POST","none (uses the user's Composio Drive connection)","uploaded Drive file metadata","Exports the capsule straight to the user's Google Drive","LIVE - Next.js route","None (Composio + Drive)","components\WorkspaceMemorySection.tsx"
"api/workspace-memory","C:\ct\ct\src\app\api\workspace-memory\drive-import\route.ts","POST","none","import result from the latest Drive capsule","Downloads the latest capsule from Drive and imports it","LIVE - Next.js route","None","components\WorkspaceMemorySection.tsx"
